country,2030,2040,2050
AT,0.0275818818341966,0.0808593846153846,0.0808593846153846
BE,0.0431689976713164,0.0521566977258079,0.0521566977258079
BG,0.0488439373558666,0.0392436816772946,0.0392436816772946
CY,0.0442407371592361,0.0248573296075711,0.0248573296075711
CZ,0.0400000000000001,0.0400000000000001,0.0400000000000001
DE,0.0313009939178164,0.0311418685121107,0.0311418685121107
DK,0.02,0.02,0.02
EE,0.07,0.0456137944598754,0.0456137944598754
ES,0.0300088278306618,0.0299996415742716,0.0299996415742716
FI,0.0395113192395492,0.0572359493830667,0.0572359493830667
FR,0.0587678808593751,0.0361163880201011,0.0361163880201011
GR,0.0706298357167564,0.05,0.05
HR,0.04,0.03,0.03
HU,0.03,0.0300000000000001,0.0300000000000001
IE,0.0300000000000001,0.0384615384615385,0.0384615384615385
IT,0.0560775558715242,0.0296619989190721,0.0296619989190721
LT,0.07,0.07,0.07
LU,0.05,0.04,0.04
LV,0.0167669429622203,0.0384615384615384,0.0384615384615384
MT,0.0841998585804017,0.0911030286059401,0.0911030286059401
NL,0.0291262135922331,0.029126213592233,0.029126213592233
PL,0.04,0.04,0.04
PT,0.0392942692164245,0.03,0.03
RO,0.0400000000000001,0.03,0.03
SE,0.0300000000000001,0.03,0.03
SI,0.0623786516506176,0.0542182059442265,0.0542182059442265
SK,0.0766590232860678,0.0704564640616004,0.0704564640616004
