"dataset","source","version","tags","url","note"
"gem_gspt","archive","April-2024-V1","['latest', 'supported']","https://globalenergymonitor.org/wp-content/uploads/2024/04/Global-Steel-Plant-Tracker-April-2024-Standard-Copy-V1.xlsx","Original of the TUB mirror, for details see https://github.com/PyPSA/pypsa-eur/pull/1265"
"gem_gspt","primary","March-2025-V1","['not-supported']","https://globalenergymonitor.org/wp-content/uploads/2025/03/Plant-level-data-Global-Iron-and-Steel-Tracker-March-2025-V1.xlsx""",""
"gem_gspt","primary","April-2024-V1","['latest', 'supported']","https://tubcloud.tu-berlin.de/s/Aqebo3rrQZWKGsG/download/Global-Steel-Plant-Tracker-April-2024-Standard-Copy-V1.xlsx",""
"jrc_enspreso_biomass","archive","2019-06-20","['latest', 'supported']","https://zenodo.org/records/10356004/files/ENSPRESO_BIOMASS.xlsx",""
"jrc_enspreso_biomass","primary","unknown","['latest', 'supported']","https://jeodpp.jrc.ec.europa.eu/ftp/jrc-opendata/ENSPRESO/ENSPRESO_BIOMASS.xlsx","2019 version was changed in 2023 with negligible differences, but since the version is not frozen we label it as 'unknown'."
"osm","archive","0.1","['deprecated', 'not-supported']","https://zenodo.org/records/12799202",""
"osm","archive","0.2","['deprecated', 'not-supported']","https://zenodo.org/records/13342577",""
"osm","archive","0.3","['deprecated', 'not-supported']","https://zenodo.org/records/13358976",""
"osm","archive","0.4","['deprecated', 'not-supported']","https://zenodo.org/records/13759222",""
"osm","archive","0.5","['deprecated', 'not-supported']","https://zenodo.org/records/13981528",""
"osm","archive","0.6","['latest', 'supported']","https://zenodo.org/records/14144752",""
"osm","build","unknown","['latest', 'supported']","","Latest dataset built using OSM data. No single URL available to access the data. See the related scripts and documentation for details."
"worldbank_urban_population","archive","2025-05-07","['latest', 'supported']","https://sandbox.zenodo.org/records/214937/files/API_SP.URB.TOTL.IN.ZS_DS2_en_csv_v2_86733.zip",""
"worldbank_urban_population","primary","unknown","['latest', 'might-work']","https://api.worldbank.org/v2/en/indicator/SP.URB.TOTL.IN.ZS?downloadformat=csv","This is the original World Bank API link, which is sometimes updated; it is not guaranteed to work with the current codebase and data changes without notice."
"luisa_land_cover","primary","unknown","['latest', 'supported']","https://jeodpp.jrc.ec.europa.eu/ftp/jrc-opendata/LUISA/EUROPE/Basemaps/LandUse/2018/LATEST/LUISA_basemap_020321_50m.tif",""
"luisa_land_cover","archive","2021-03-02","['latest', 'supported']","https://zenodo.org/records/15879466/files/LUISA_basemap_020321_50m.tif",""
"jrc_idees","primary","unknown","['latest', 'supported']","https://jeodpp.jrc.ec.europa.eu/ftp/jrc-opendata/JRC-IDEES/JRC-IDEES-2021_v1/JRC-IDEES-2021.zip",""
"jrc_idees","archive","2024-05-20","['latest', 'supported']","https://zenodo.org/records/15895830/files/JRC-IDEES-2021.zip",""
"scigrid_gas","primary","1.1.2","['latest', 'supported']","https://zenodo.org/records/4767098/files/IGGIELGN.zip","the primary is already from Zenodo published by original authors"
"scigrid_gas","archive","1.1.1","['deprecated', 'not-supported']","https://zenodo.org/records/4751038/files/IGGIELGN.zip",""
"scigrid_gas","archive","1.1.0","['deprecated', 'not-supported']","https://zenodo.org/records/4642569/files/IGGIELGN.zip",""
"synthetic_electricity_demand","primary","v2","['latest', 'supported']","https://zenodo.org/records/10820928/files/demand_hourly.csv","the primary is already from Zenodo published by original authors"
"synthetic_electricity_demand","archive","0.1.0","['deprecated', 'might-work']","https://zenodo.org/records/7070438/files/demand_hourly.csv",""
"copernicus_land_cover","primary","v3.0.1","['latest', 'supported']","https://zenodo.org/records/3939050/files/PROBAV_LC100_global_v3.0.1_2019-nrt_Discrete-Classification-map_EPSG-4326.tif","The primary is already from Zenodo, documentation in https://zenodo.org/records/4723921"
"copernicus_land_cover","archive","v2.0.2","['deprecated', 'might-work']","https://zenodo.org/records/3939038/files/PROBAV_LC100_global_v3.0.1_2015-base_Discrete-Classification-map_EPSG-4326.tif",""
"ship_raster","archive","v5","['latest', 'supported']","https://zenodo.org/records/12760663/files/shipdensity_global.zip","Part of Zenodo data bundle, needs to have a dedicated zenodo link, the primary source is a manual download link on the website (https://datacatalog.worldbank.org/search/dataset/0037580/Global-Shipping-Traffic-Density)"
"eez","primary","v12_20231025","['latest', 'supported']","https://www.marineregions.org/download_file.php","API request used"
"eez","archive","v12_20231025","['latest', 'supported']","https://zenodo.org/records/16355917/files/World_EEZ_v12_20231025_LR.zip",""
"nuts3_population","primary","13-03-2025","['latest', 'supported']","https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/data/nama_10r_3popgdp?format=TSV&compressed=true",""
"nuts3_population","archive","13-03-2025","['latest', 'supported']","https://zenodo.org/records/16551424/files/nama_10r_3popgdp.tsv.gz","Earlier part of zenodo bundle"
"gdp_per_capita","archive","2018-02-06","['latest', 'supported']","https://zenodo.org/records/16556029/files/GDP_per_capita_PPP_1990_2015_v2.nc","Earlier part of zenodo bundle"
"population_count","archive","2018-11-01","['latest', 'supported']","https://zenodo.org/records/16558833/files/ppp_2019_1km_Aggregated.tif","Earlier part of zenodo bundle"
